"","trimestre","alcance","desocupados","activos","ocupados","edad_activ","desocupados_ampliado","activos_ampliado","desocupacion","participacion","ocupacion","desocupacion_ampliada"
"180",2010-05-01,"Magallanes",3741.51018865619,79481.8511160549,75740.3409273987,127617,12129.1315654657,87869.4724928643,4.7,62.3,59.3,13.8
"181",2010-06-01,"Magallanes",3431.85796482895,79856.8721202824,76425.0141554534,127763,12038.8065403991,88463.8206958526,4.3,62.5,59.8,13.6
"182",2010-07-01,"Magallanes",3846.03809676469,80813.7520254795,76967.7139287148,127895,10960.1742435351,87927.8881722499,4.8,63.2,60.2,12.5
"183",2010-08-01,"Magallanes",3916.72619348913,79650.7627810833,75734.0365875942,128055,11049.2995812109,86783.3361688051,4.9,62.2,59.1,12.7
"184",2010-09-01,"Magallanes",4189.33726888568,79627.4614028725,75438.1241339868,128196,12114.9067946799,87553.0309286668,5.3,62.1,58.8,13.8
"185",2010-10-01,"Magallanes",4337.24907997425,78712.3076297899,74375.0585498157,128333,13988.2202124985,88363.2787623141,5.5,61.3,58,15.8
"186",2010-11-01,"Magallanes",4316.22780094565,78592.8445388162,74276.6167378705,128480,14488.6372432529,88765.2539811234,5.5,61.2,57.8,16.3
"187",2010-12-01,"Magallanes",4578.16343421634,80892.1510683269,76313.9876341106,128618,12912.2417107882,89226.2293448988,5.7,62.9,59.3,14.5
"188",2011-01-01,"Magallanes",4089.927769268,78948.4211638789,74858.4933946109,128766,12356.5903757549,87215.0837703657,5.2,61.3,58.1,14.2
"189",2011-02-01,"Magallanes",4128.57931075414,81578.443412241,77449.8641014869,128901,10693.2161373446,88143.0802388315,5.1,63.3,60.1,12.1
"190",2011-03-01,"Magallanes",3043.01558422404,79744.318785302,76701.303201078,129045,10227.6409313294,86928.9441324074,3.8,61.8,59.4,11.8
"191",2011-04-01,"Magallanes",2822.6130056175,80161.0155524227,77338.4025468052,129183,9706.25334716427,87044.6558939695,3.5,62.1,59.9,11.2
"192",2011-05-01,"Magallanes",2692.55186974835,79782.9786432675,77090.4267735191,129335,10980.0074024446,88070.4341759637,3.4,61.7,59.6,12.5
"193",2010-02-01,"Metropolitana de Santiago",240995.98501359,3474952.33743979,3233956.3524262,5475895,527984.150794091,3761940.50322029,6.9,63.5,59.1,14
"194",2010-03-01,"Metropolitana de Santiago",256092.566721122,3505726.72856601,3249634.16184488,5483318,547071.629095634,3796705.79094052,7.3,63.9,59.3,14.4
"195",2010-04-01,"Metropolitana de Santiago",254366.115678493,3527828.16127059,3273462.04559209,5490693,517336.003696504,3790798.0492886,7.2,64.3,59.6,13.6
"196",2010-05-01,"Metropolitana de Santiago",259030.572405526,3563518.96821101,3304488.39580548,5498059,499845.973757657,3804334.36956314,7.3,64.8,60.1,13.1
"197",2010-06-01,"Metropolitana de Santiago",240897.484110317,3576705.60342662,3335808.1193163,5505392,481432.079314783,3817240.19863108,6.7,65,60.6,12.6
"198",2010-07-01,"Metropolitana de Santiago",254067.967501725,3574305.30806962,3320237.3405679,5512796,495043.773873672,3815281.11444157,7.1,64.8,60.2,13
"199",2010-08-01,"Metropolitana de Santiago",259138.714870702,3591579.41837128,3332440.70350058,5520123,499742.859871763,3832183.56337234,7.2,65.1,60.4,13
"200",2010-09-01,"Metropolitana de Santiago",273436.229526648,3608037.74407607,3334601.51454943,5527388,515710.317827142,3850311.83237657,7.6,65.3,60.3,13.4
"201",2010-10-01,"Metropolitana de Santiago",280484.498142265,3617136.12731343,3336651.62917117,5534682,532902.138597569,3869553.76776874,7.8,65.4,60.3,13.8
"202",2010-11-01,"Metropolitana de Santiago",282797.802222782,3598801.03934526,3316003.23712248,5541946,536682.643213612,3852685.88033609,7.9,64.9,59.8,13.9
"203",2010-12-01,"Metropolitana de Santiago",257885.041467495,3588739.87320025,3330854.83173275,5549212,521172.06634363,3852026.89807638,7.2,64.7,60,13.5
"204",2011-01-01,"Metropolitana de Santiago",255204.784823392,3558376.71109627,3303171.92627288,5556483,535453.243960315,3838625.17023319,7.2,64,59.4,13.9
"205",2011-02-01,"Metropolitana de Santiago",226282.723901518,3552465.10210046,3326182.37819894,5563724,491749.166277093,3817931.54447604,6.4,63.9,59.8,12.9
"206",2011-03-01,"Metropolitana de Santiago",240054.820061478,3564046.39579991,3323991.57573843,5570994,478597.666969912,3802589.24270834,6.7,64,59.7,12.6
"207",2011-04-01,"Metropolitana de Santiago",245961.170194508,3585621.19459055,3339660.02439604,5578270,456558.838580501,3796218.86297654,6.9,64.3,59.9,12
"208",2011-05-01,"Metropolitana de Santiago",260982.416851689,3607619.29708589,3346636.8802342,5585559,453352.945770872,3799989.82600508,7.2,64.6,59.9,11.9
"209",2010-02-01,"Los Ríos",13233.43964507,169644.567220823,156411.127575753,299181,48387.2594005406,204798.386976294,7.8,56.7,52.3,23.6
"210",2010-03-01,"Los Ríos",13150.8364073393,168157.121521363,155006.285114023,299466,45762.3074835492,200768.592597573,7.8,56.2,51.8,22.8
